impd,spp,year,tl,age
ELDR,BCF,2020,146,1
ELDR,BCF,2020,150,2
ELDR,BCF,2020,154,1
ELDR,BCF,2020,155,1
ELDR,BCF,2020,155,1
ELDR,BCF,2020,158,1
ELDR,BCF,2020,162,1
ELDR,BCF,2020,167,1
ELDR,BCF,2020,170,1
ELDR,BCF,2020,170,1
ELDR,BCF,2020,177,2
ELDR,BCF,2020,180,1
ELDR,BCF,2020,205,2
ELDR,BCF,2020,214,2
ELDR,BCF,2020,226,2
ELDR,BCF,2020,238,3
ELDR,BCF,2020,245,3
ELDR,BCF,2020,250,3
ELDR,BCF,2020,250,3
ELDR,BCF,2020,253,3
ELDR,BCF,2020,260,3
ELDR,BCF,2020,261,2
ELDR,BCF,2020,265,4
ELDR,BCF,2020,266,4
ELDR,BCF,2020,270,3
ELDR,BCF,2020,272,3
ELDR,BCF,2020,282,3
ELDR,BCF,2020,290,3
ELDR,BCF,2020,290,4
ELDR,BCF,2020,296,4
ELDR,BCF,2020,298,3
ELDR,BCF,2020,306,4
ELDR,BCF,2020,310,4
ELDR,BCF,2020,316,3
ELDR,BCF,2020,323,4
ELDR,BCF,2020,324,4
ELDR,BCF,2020,331,4
ELDR,BCF,2020,339,4
ELDR,BCF,2020,341,4
ELDR,BCF,2020,342,4
ELDR,BCF,2020,347,4
ELDR,BCF,2020,354,4
ELDR,BCF,2020,363,6
ELDR,BCF,2020,370,4
ELDR,BCF,2020,370,5
ELDR,BCF,2020,375,8
ELDR,BCF,2020,380,7
ELDR,BCF,2020,390,4
ELDR,BCF,2020,395,8
ELDR,BCF,2020,400,9
ELDR,BCF,2020,400,9
ELDR,BCF,2020,412,6
ELDR,BCF,2020,417,7
ELDR,BCF,2020,421,7
ELDR,BCF,2020,422,7
ELDR,BCF,2020,430,7
ELDR,BCF,2020,445,9
ELDR,BCF,2020,450,8
ELDR,BCF,2020,450,9
ELDR,BCF,2020,450,10
ELDR,BCF,2020,451,7
ELDR,BCF,2020,452,8
ELDR,BCF,2020,452,9
ELDR,BCF,2020,454,11
ELDR,BCF,2020,457,8
ELDR,BCF,2020,457,10
ELDR,BCF,2020,461,7
ELDR,BCF,2020,463,10
ELDR,BCF,2020,466,7
ELDR,BCF,2020,466,9
ELDR,BCF,2020,470,9
ELDR,BCF,2020,471,9
ELDR,BCF,2020,475,9
ELDR,BCF,2020,475,10
ELDR,BCF,2020,476,8
ELDR,BCF,2020,477,9
ELDR,BCF,2020,478,9
ELDR,BCF,2020,478,11
ELDR,BCF,2020,480,9
ELDR,BCF,2020,481,11
ELDR,BCF,2020,485,10
ELDR,BCF,2020,488,9
ELDR,BCF,2020,491,9
ELDR,BCF,2020,492,8
ELDR,BCF,2020,494,9
ELDR,BCF,2020,495,8
ELDR,BCF,2020,495,8
ELDR,BCF,2020,495,8
ELDR,BCF,2020,496,9
ELDR,BCF,2020,499,9
ELDR,BCF,2020,501,9
ELDR,BCF,2020,505,9
ELDR,BCF,2020,510,9
ELDR,BCF,2020,511,9
ELDR,BCF,2020,512,8
ELDR,BCF,2020,512,10
ELDR,BCF,2020,515,9
ELDR,BCF,2020,516,9
ELDR,BCF,2020,518,10
ELDR,BCF,2020,519,9
ELDR,BCF,2020,520,12
ELDR,BCF,2020,522,9
ELDR,BCF,2020,522,9
ELDR,BCF,2020,523,9
ELDR,BCF,2020,523,9
ELDR,BCF,2020,528,12
ELDR,BCF,2020,535,9
ELDR,BCF,2020,538,8
ELDR,BCF,2020,541,10
ELDR,BCF,2020,542,10
ELDR,BCF,2020,545,9
ELDR,BCF,2020,546,10
ELDR,BCF,2020,546,10
ELDR,BCF,2020,547,9
ELDR,BCF,2020,547,10
ELDR,BCF,2020,560,9
ELDR,BCF,2020,565,11
ELDR,BCF,2020,570,10
ELDR,BCF,2020,574,9
ELDR,BCF,2020,575,11
ELDR,BCF,2020,577,10
ELDR,BCF,2020,582,9
ELDR,BCF,2020,582,10
ELDR,BCF,2020,585,8
ELDR,BCF,2020,585,10
ELDR,BCF,2020,587,10
ELDR,BCF,2020,591,10
ELDR,BCF,2020,610,9
ELDR,BCF,2020,614,9
ELDR,BCF,2020,620,8
ELDR,BCF,2020,630,10
ELDR,BCF,2020,631,10
ELDR,BCF,2020,635,10
ELDR,BCF,2020,637,10
ELDR,BCF,2020,640,9
ELDR,BCF,2020,640,10
ELDR,BCF,2020,643,11
ELDR,BCF,2020,644,8
ELDR,BCF,2020,650,9
ELDR,BCF,2020,663,10
ELDR,BCF,2020,667,12
ELDR,BCF,2020,670,9
ELDR,BCF,2020,690,11
ELDR,BCF,2020,690,11
ELDR,BCF,2020,710,12
ELDR,BCF,2020,720,11
ELDR,BCF,2020,787,11
ELDR,BCF,2020,821,9
ELDR,BCF,2020,850,12
ELDR,BCF,2020,860,11
ELDR,BCF,2020,880,13
ELDR,BCF,2020,880,14
MILR,BCF,2019,240,2
MILR,BCF,2019,240,2
MILR,BCF,2019,245,2
MILR,BCF,2019,259,3
MILR,BCF,2019,260,2
MILR,BCF,2019,265,3
MILR,BCF,2019,267,2
MILR,BCF,2019,271,2
MILR,BCF,2019,275,2
MILR,BCF,2019,277,3
MILR,BCF,2019,277,2
MILR,BCF,2019,278,2
MILR,BCF,2019,290,3
MILR,BCF,2019,295,3
MILR,BCF,2019,296,3
MILR,BCF,2019,296,2
MILR,BCF,2019,309,3
MILR,BCF,2019,309,3
MILR,BCF,2019,310,3
MILR,BCF,2019,322,3
MILR,BCF,2019,327,3
MILR,BCF,2019,327,4
MILR,BCF,2019,335,3
MILR,BCF,2019,340,4
MILR,BCF,2019,340,4
MILR,BCF,2019,345,4
MILR,BCF,2019,354,4
MILR,BCF,2019,364,4
MILR,BCF,2019,370,4
MILR,BCF,2019,375,4
MILR,BCF,2019,375,4
MILR,BCF,2019,380,4
MILR,BCF,2019,380,4
MILR,BCF,2019,390,4
MILR,BCF,2019,391,4
MILR,BCF,2019,392,4
MILR,BCF,2019,402,4
MILR,BCF,2019,412,4
MILR,BCF,2019,413,4
MILR,BCF,2019,417,4
MILR,BCF,2019,420,4
MILR,BCF,2019,445,7
MILR,BCF,2019,450,8
MILR,BCF,2019,450,8
MILR,BCF,2019,457,8
MILR,BCF,2019,462,7
MILR,BCF,2019,465,8
MILR,BCF,2019,468,8
MILR,BCF,2019,471,6
MILR,BCF,2019,472,8
MILR,BCF,2019,476,8
MILR,BCF,2019,482,7
MILR,BCF,2019,482,8
MILR,BCF,2019,485,9
MILR,BCF,2019,496,9
MILR,BCF,2019,508,8
MILR,BCF,2019,515,8
MILR,BCF,2019,521,9
MILR,BCF,2019,521,10
MILR,BCF,2019,525,9
MILR,BCF,2019,529,8
MILR,BCF,2019,530,9
MILR,BCF,2019,535,8
MILR,BCF,2019,535,10
MILR,BCF,2019,535,10
MILR,BCF,2019,540,9
MILR,BCF,2019,540,8
MILR,BCF,2019,540,9
MILR,BCF,2019,545,10
MILR,BCF,2019,550,9
MILR,BCF,2019,554,9
MILR,BCF,2019,555,8
MILR,BCF,2019,556,5
MILR,BCF,2019,557,9
MILR,BCF,2019,560,10
MILR,BCF,2019,560,9
MILR,BCF,2019,565,11
MILR,BCF,2019,565,11
MILR,BCF,2019,579,8
MILR,BCF,2019,580,9
MILR,BCF,2019,585,11
MILR,BCF,2019,590,10
MILR,BCF,2019,592,10
MILR,BCF,2019,594,9
MILR,BCF,2019,600,11
MILR,BCF,2019,602,11
MILR,BCF,2019,602,8
MILR,BCF,2019,606,11
