impd,spp,grid,tl,w,spine,count,tag
MILR,BCF,566,140,,,1,
MILR,BCF,253,140,,,1,
MILR,BCF,394,150,,,1,
MILR,BCF,752,150,,,1,
MILR,BCF,604,150,,,1,
MILR,BCF,555,150,,,2,
MILR,BCF,514,150,,,1,
MILR,BCF,682,150,,,1,
MILR,BCF,411,150,,,1,
MILR,BCF,175,150,,,1,
MILR,BCF,514,160,,,2,
MILR,BCF,480,160,,,1,
MILR,BCF,566,160,,,1,
MILR,BCF,299,160,,,1,
MILR,BCF,332,160,,,1,
MILR,BCF,394,160,,,1,
MILR,BCF,520,160,,,3,
MILR,BCF,566,160,,,2,
MILR,BCF,480,160,,,1,
MILR,BCF,752,160,,,2,
MILR,BCF,555,160,,,1,
MILR,BCF,514,160,,,2,
MILR,BCF,519,160,,,1,
MILR,BCF,637,160,,,2,
MILR,BCF,296,160,,,2,
MILR,BCF,295,160,,,1,
MILR,BCF,421,160,,,1,
MILR,BCF,637,160,,,4,
MILR,BCF,296,160,,,1,
MILR,BCF,536,160,,,1,
MILR,BCF,411,160,,,5,
MILR,BCF,224,160,,,1,
MILR,BCF,253,160,,,1,
MILR,BCF,175,160,,,1,
MILR,BCF,514,170,,,5,
MILR,BCF,752,170,,,2,
MILR,BCF,520,170,,,1,
MILR,BCF,665,170,,,2,
MILR,BCF,299,170,,,2,
MILR,BCF,520,170,,,1,
MILR,BCF,566,170,,,1,
MILR,BCF,480,170,,,1,
MILR,BCF,752,170,,,2,
MILR,BCF,790,170,,,1,
MILR,BCF,555,170,,,1,
MILR,BCF,514,170,,,2,
MILR,BCF,610,170,,,1,
MILR,BCF,519,170,,,1,
MILR,BCF,739,170,,,1,
MILR,BCF,637,170,,,3,
MILR,BCF,420,170,,,2,
MILR,BCF,421,170,,,1,
MILR,BCF,637,170,,,3,
MILR,BCF,296,170,,,2,
MILR,BCF,739,170,,,1,
MILR,BCF,349,170,,,1,
MILR,BCF,224,170,,,1,
MILR,BCF,253,170,,,1,
MILR,BCF,100,170,,,1,
MILR,BCF,344,170,,,1,
MILR,BCF,458,170,,,3,
MILR,BCF,149,170,,,1,
MILR,BCF,605,180,,,1,
MILR,BCF,514,180,,,2,
MILR,BCF,784,180,,,1,
MILR,BCF,752,180,,,1,
MILR,BCF,480,180,,,3,
MILR,BCF,665,180,,,3,
MILR,BCF,566,180,,,1,
MILR,BCF,794,180,,,1,
MILR,BCF,752,180,,,1,
MILR,BCF,555,180,,,1,
MILR,BCF,514,180,,,3,
MILR,BCF,519,180,,,1,
MILR,BCF,505,180,,,1,
MILR,BCF,739,180,,,1,
MILR,BCF,682,180,,,1,
MILR,BCF,637,180,,,2,
MILR,BCF,420,180,,,1,
MILR,BCF,637,180,,,3,
MILR,BCF,296,180,,,2,
MILR,BCF,455,180,,,1,
MILR,BCF,411,180,,,7,
MILR,BCF,253,180,,,1,
MILR,BCF,158,180,,,1,
MILR,BCF,100,180,,,2,
MILR,BCF,343,180,,,1,
MILR,BCF,202,180,,,1,
MILR,BCF,514,190,,,1,
MILR,BCF,480,190,,,1,
MILR,BCF,665,190,,,1,
MILR,BCF,514,190,,,1,
MILR,BCF,519,190,,,1,
MILR,BCF,637,190,,,2,
MILR,BCF,420,190,,,1,
MILR,BCF,421,190,,,1,
MILR,BCF,637,190,,,2,
MILR,BCF,739,190,,,1,
MILR,BCF,682,190,,,1,
MILR,BCF,354,190,,,2,
MILR,BCF,452,190,,,2,
MILR,BCF,411,190,,,5,
MILR,BCF,224,190,,,1,
MILR,BCF,68,190,,,1,
MILR,BCF,605,200,,,1,
MILR,BCF,514,200,,,4,
MILR,BCF,555,200,,,1,
MILR,BCF,354,200,,,1,
MILR,BCF,332,200,,,1,
MILR,BCF,480,200,,,4,
MILR,BCF,752,200,,,2,
MILR,BCF,790,200,,,1,
MILR,BCF,604,200,,,2,
MILR,BCF,555,200,,,2,
MILR,BCF,514,200,,,7,
MILR,BCF,610,200,,,1,
MILR,BCF,744,200,,,1,
MILR,BCF,739,200,,,1,
MILR,BCF,420,200,,,1,
MILR,BCF,739,200,,,2,
MILR,BCF,536,200,,,1,
MILR,BCF,411,200,,,3,
MILR,BCF,224,200,,,1,
MILR,BCF,605,210,,,6,
MILR,BCF,514,210,,,15,
MILR,BCF,784,210,,,1,
MILR,BCF,794,210,,,1,
MILR,BCF,752,210,,,1,
MILR,BCF,520,210,,,1,
MILR,BCF,480,210,,,2,
MILR,BCF,555,210,,,1,
MILR,BCF,354,210,,,3,
MILR,BCF,299,210,,,1,
MILR,BCF,332,210,,,1,
MILR,BCF,520,210,,,2,
MILR,BCF,566,210,,,3,
MILR,BCF,480,210,,,4,
MILR,BCF,752,210,,,1,
MILR,BCF,551,210,,,1,
MILR,BCF,604,210,,,8,
MILR,BCF,555,210,,,3,
MILR,BCF,514,210,,,29,
MILR,BCF,519,210,,,2,
MILR,BCF,744,210,,,2,
MILR,BCF,739,210,,,7,
MILR,BCF,682,210,,,1,
MILR,BCF,637,210,,,3,
MILR,BCF,421,210,,,3,
MILR,BCF,420,210,,,1,
MILR,BCF,420,210,,,2,
MILR,BCF,421,210,,,2,
MILR,BCF,637,210,,,2,
MILR,BCF,296,210,,,1,
MILR,BCF,739,210,,,6,
MILR,BCF,682,210,,,3,
MILR,BCF,299,210,,,1,
MILR,BCF,354,210,,,3,
MILR,BCF,744,210,,,1,
MILR,BCF,576,210,,,1,
MILR,BCF,534,210,,,1,
MILR,BCF,411,210,,,5,
MILR,BCF,285,210,,,1,
MILR,BCF,458,210,,,1,
MILR,BCF,193,210,,,1,
MILR,BCF,216,210,,,1,
MILR,BCF,605,220,,,17,
MILR,BCF,514,220,,,22,
MILR,BCF,784,220,,,2,
MILR,BCF,752,220,,,2,
MILR,BCF,520,220,,,2,
MILR,BCF,480,220,,,11,
MILR,BCF,566,220,,,2,
MILR,BCF,665,220,,,4,
MILR,BCF,552,220,,,2,
MILR,BCF,555,220,,,9,
MILR,BCF,354,220,,,12,
MILR,BCF,299,220,,,1,
MILR,BCF,332,220,,,2,
MILR,BCF,394,220,,,2,
MILR,BCF,519,220,,,2,
MILR,BCF,566,220,,,2,
MILR,BCF,480,220,,,10,
MILR,BCF,777,220,,,1,
MILR,BCF,752,220,,,2,
MILR,BCF,551,220,,,1,
MILR,BCF,604,220,,,11,
MILR,BCF,555,220,,,9,
MILR,BCF,514,220,,,27,
MILR,BCF,439,220,,,1,
MILR,BCF,519,220,,,1,
MILR,BCF,505,220,,,1,
MILR,BCF,689,220,,,1,
MILR,BCF,739,220,,,12,
MILR,BCF,682,220,,,3,
MILR,BCF,637,220,,,1,
MILR,BCF,296,220,,,2,
MILR,BCF,421,220,,,1,
MILR,BCF,420,220,,,2,
MILR,BCF,420,220,,,3,
MILR,BCF,421,220,,,3,
MILR,BCF,637,220,,,1,
MILR,BCF,739,220,,,11,
MILR,BCF,682,220,,,5,
MILR,BCF,320,220,,,1,
MILR,BCF,299,220,,,4,
MILR,BCF,332,220,,,2,
MILR,BCF,354,220,,,13,
MILR,BCF,357,220,,,1,
MILR,BCF,744,220,,,1,
MILR,BCF,534,220,,,2,
MILR,BCF,536,220,,,3,
MILR,BCF,452,220,,,1,
MILR,BCF,411,220,,,12,
MILR,BCF,458,220,,,3,
MILR,BCF,130,220,,,1,
MILR,BCF,149,220,,,1,
MILR,BCF,216,220,,,2,
MILR,BCF,202,220,,,1,
MILR,BCF,605,230,,,15,
MILR,BCF,514,230,,,20,
MILR,BCF,610,230,,,2,
MILR,BCF,790,230,,,1,
MILR,BCF,752,230,,,3,
MILR,BCF,520,230,,,2,
MILR,BCF,480,230,,,13,
MILR,BCF,566,230,,,2,
MILR,BCF,665,230,,,1,
MILR,BCF,552,230,,,1,
MILR,BCF,555,230,,,2,
MILR,BCF,354,230,,,8,
MILR,BCF,299,230,,,3,
MILR,BCF,394,230,,,1,
MILR,BCF,392,230,,,1,
MILR,BCF,519,230,,,3,
MILR,BCF,520,230,,,3,
MILR,BCF,566,230,,,1,
MILR,BCF,480,230,,,12,
MILR,BCF,777,230,,,1,
MILR,BCF,665,230,,,2,
MILR,BCF,752,230,,,2,
MILR,BCF,790,230,,,2,
MILR,BCF,604,230,,,11,
MILR,BCF,555,230,,,4,
MILR,BCF,514,230,,,14,
MILR,BCF,439,230,,,1,
MILR,BCF,519,230,,,4,
MILR,BCF,504,230,,,1,
MILR,BCF,744,230,,,4,
MILR,BCF,689,230,,,1,
MILR,BCF,739,230,,,12,
MILR,BCF,682,230,,,4,
MILR,BCF,637,230,,,5,
MILR,BCF,296,230,,,1,
MILR,BCF,295,230,,,2,
MILR,BCF,421,230,,,4,
MILR,BCF,232,230,,,1,
MILR,BCF,420,230,,,2,
MILR,BCF,420,230,,,2,
MILR,BCF,421,230,,,5,
MILR,BCF,637,230,,,1,
MILR,BCF,739,230,,,12,
MILR,BCF,682,230,,,3,
MILR,BCF,505,230,,,1,
MILR,BCF,392,230,,,1,
MILR,BCF,394,230,,,1,
MILR,BCF,304,230,,,1,
MILR,BCF,299,230,,,2,
MILR,BCF,332,230,,,1,
MILR,BCF,354,230,,,17,
MILR,BCF,357,230,,,1,
MILR,BCF,744,230,,,2,
MILR,BCF,576,230,,,2,
MILR,BCF,457,230,,,1,
MILR,BCF,534,230,,,1,
MILR,BCF,536,230,,,1,
MILR,BCF,455,230,,,1,
MILR,BCF,411,230,,,18,
MILR,BCF,310,230,,,2,
MILR,BCF,224,230,,,2,
MILR,BCF,253,230,,,2,
MILR,BCF,158,230,,,1,
MILR,BCF,100,230,,,1,
MILR,BCF,285,230,,,3,
MILR,BCF,314,230,,,3,
MILR,BCF,458,230,,,8,
MILR,BCF,376,230,,,2,
MILR,BCF,174,230,,,1,
MILR,BCF,68,230,,,1,
MILR,BCF,149,230,,,1,
MILR,BCF,514,233,,,1,520
MILR,BCF,605,240,,,14,
MILR,BCF,514,240,,,5,
MILR,BCF,338,240,,,1,
MILR,BCF,610,240,,,1,
MILR,BCF,790,240,,,1,
MILR,BCF,777,240,,,1,
MILR,BCF,752,240,,,4,
MILR,BCF,520,240,,,1,
MILR,BCF,480,240,,,4,
MILR,BCF,665,240,,,2,
MILR,BCF,555,240,,,1,
MILR,BCF,354,240,,,9,
MILR,BCF,519,240,,,1,
MILR,BCF,520,240,,,2,
MILR,BCF,566,240,,,1,
MILR,BCF,480,240,,,6,
MILR,BCF,794,240,,,1,
MILR,BCF,752,240,,,2,
MILR,BCF,604,240,,,9,
MILR,BCF,555,240,,,5,
MILR,BCF,514,240,,,13,
MILR,BCF,610,240,,,1,
MILR,BCF,439,240,,,1,
MILR,BCF,439,240,,,1,
MILR,BCF,519,240,,,1,
MILR,BCF,689,240,,,3,
MILR,BCF,739,240,,,17,
MILR,BCF,682,240,,,3,
MILR,BCF,296,240,,,1,
MILR,BCF,421,240,,,2,
MILR,BCF,420,240,,,3,
MILR,BCF,464,240,,,1,
MILR,BCF,739,240,,,5,
MILR,BCF,682,240,,,7,
MILR,BCF,504,240,,,1,
MILR,BCF,299,240,,,1,
MILR,BCF,332,240,,,1,
MILR,BCF,354,240,,,17,
MILR,BCF,576,240,,,1,
MILR,BCF,630,240,,,1,
MILR,BCF,534,240,,,1,
MILR,BCF,536,240,,,3,
MILR,BCF,452,240,,,1,
