impd,u,metric,value,reg
MILR,0,yield,0.7785869,no_length
MILR,0.02,yield,0.3439371,no_length
MILR,0.04,yield,0.5569847,no_length
MILR,0.06,yield,0.6821670,no_length
MILR,0.08,yield,0.7492380,no_length
MILR,0.1,yield,0.7785869,no_length
MILR,0.12,yield,0.7840428,no_length
MILR,0.14,yield,0.7748770,no_length
MILR,0.16,yield,0.7572209,no_length
MILR,0.18,yield,0.7350634,no_length
MILR,0.2,yield,0.7109460,no_length
MILR,0.22,yield,0.6864439,no_length
MILR,0.24,yield,0.6624955,no_length
MILR,0.26,yield,0.6396263,no_length
MILR,0.28,yield,0.6180988,no_length
MILR,0.3,yield,0.5980125,no_length
MILR,0.32,yield,0.5793688,no_length
MILR,0.34,yield,0.5621133,no_length
MILR,0.36,yield,0.5461624,no_length
MILR,0.38,yield,0.5314196,no_length
MILR,0,spr,0.3163345,no_length
MILR,0.02,spr,0.7859081,no_length
MILR,0.04,spr,0.6206933,no_length
MILR,0.06,spr,0.4928621,no_length
MILR,0.08,spr,0.3936399,no_length
MILR,0.1,spr,0.3163345,no_length
MILR,0.12,spr,0.2558450,no_length
MILR,0.14,spr,0.2082842,no_length
MILR,0.16,spr,0.1706897,no_length
MILR,0.18,spr,0.1408020,no_length
MILR,0.2,spr,0.1168965,no_length
MILR,0.22,spr,0.0976543,no_length
MILR,0.24,spr,0.0820645,no_length
MILR,0.26,spr,0.0693506,no_length
MILR,0.28,spr,0.0589140,no_length
MILR,0.3,spr,0.0502911,no_length
MILR,0.32,spr,0.0431220,no_length
MILR,0.34,spr,0.0371255,no_length
MILR,0.36,spr,0.0320807,no_length
MILR,0.38,spr,0.0278133,no_length
MILR,0,yield,0.3612223,protected_slot
MILR,0.02,yield,0.1542863,protected_slot
MILR,0.04,yield,0.2548419,protected_slot
MILR,0.06,yield,0.3159851,protected_slot
MILR,0.08,yield,0.3486731,protected_slot
MILR,0.1,yield,0.3612223,protected_slot
MILR,0.12,yield,0.3598859,protected_slot
MILR,0.14,yield,0.3493150,protected_slot
MILR,0.16,yield,0.3329254,protected_slot
MILR,0.18,yield,0.3131877,protected_slot
MILR,0.2,yield,0.2918554,protected_slot
MILR,0.22,yield,0.2701427,protected_slot
MILR,0.24,yield,0.2488634,protected_slot
MILR,0.26,yield,0.2285371,protected_slot
MILR,0.28,yield,0.2094710,protected_slot
MILR,0.3,yield,0.1918217,protected_slot
MILR,0.32,yield,0.1756414,protected_slot
MILR,0.34,yield,0.1609126,protected_slot
MILR,0.36,yield,0.1475732,protected_slot
MILR,0.38,yield,0.1355344,protected_slot
MILR,0,spr,0.3234374,protected_slot
MILR,0.02,spr,0.8036563,protected_slot
MILR,0.04,spr,0.6436372,protected_slot
MILR,0.06,spr,0.5136379,protected_slot
MILR,0.08,spr,0.4083760,protected_slot
MILR,0.1,spr,0.3234374,protected_slot
MILR,0.12,spr,0.2551429,protected_slot
MILR,0.14,spr,0.2004352,protected_slot
MILR,0.16,spr,0.1567806,protected_slot
MILR,0.18,spr,0.1220862,protected_slot
MILR,0.2,spr,0.0946281,protected_slot
MILR,0.22,spr,0.0729919,protected_slot
MILR,0.24,spr,0.0560206,protected_slot
MILR,0.26,spr,0.0427713,protected_slot
MILR,0.28,spr,0.0324787,protected_slot
MILR,0.3,spr,0.0245241,protected_slot
MILR,0.32,spr,0.0184092,protected_slot
MILR,0.34,spr,0.0137349,protected_slot
MILR,0.36,spr,0.0101825,protected_slot
MILR,0.38,spr,0.0074991,protected_slot
MILR,0,yield,0.5150551,maximum
MILR,0.02,yield,0.1634563,maximum
MILR,0.04,yield,0.2905991,maximum
