impd.tagged,loc.caught,tag,tl,hr,at_large,reg
MILR,Milford Reservoir,67,280,Release,53,1
MILR,Milford Reservoir,305,391,Release,347,1
MILR,Milford Reservoir,1084,490,Release,266,1
MILR,Milford Reservoir,2904,410,Harvest,12,1
MILR,Milford Reservoir,2918,845,Release,270,1
MILR,Milford Reservoir,2925,449,Release,17,1
MILR,Milford Reservoir,2970,593,Harvest,56,1
MILR,Milford Reservoir,3016,568,Harvest,346,1
MILR,Milford Reservoir,3063,534,Release,93,1
MILR,Milford Reservoir,3064,502,Harvest,326,1
MILR,Milford Reservoir,3070,428,Harvest,17,1
MILR,Milford Reservoir,3096,394,Release,45,1
MILR,Milford Reservoir,3119,760,Release,307,1
MILR,Milford Reservoir,3125,551,Harvest,312,1
MILR,Milford Reservoir,3268,726,Release,64,1
MILR,Milford Reservoir,3386,555,Release,250,1
MILR,Milford Reservoir,3449,420,Release,86,1
MILR,Milford Reservoir,3468,1168,Release,276,1
MILR,Milford Reservoir,3500,547,Release,260,1
MILR,Milford Reservoir,3535,1012,Release,95,1
MILR,Milford Reservoir,3535,1012,Release,272,1
MILR,Milford Reservoir,3564,895,Release,79,1
MILR,Milford Reservoir,3679,482,Harvest,106,1
MILR,Milford Reservoir,3688,655,Release,36,1
MILR,Milford Reservoir,3727,469,Harvest,14,1
MILR,Milford Reservoir,3757,700,Release,57,1
MILR,Milford Reservoir,3771,483,Release,104,1
MILR,Milford Reservoir,3818,850,Release,240,1
MILR,Milford Reservoir,3822,1180,Release,356,1
MILR,Milford Reservoir,3886,697,Release,96,1
MILR,Milford Reservoir,4079,958,Release,265,1
MILR,Milford Reservoir,4086,702,Release,354,1
MILR,Milford Reservoir,4183,914.4,Release,237,1
MILR,Milford Reservoir,4187,723.9,Harvest,283,1
MILR,Milford Reservoir,4199,889,Release,32,1
MILR,Milford Reservoir,4215,990.6,Release,163,1
MILR,Milford Reservoir,4216,939.8,Release,164,1
ELDR,El Dorado Reservoir,4295,520,Release,186,2
ELDR,El Dorado Reservoir,4334,601,Harvest,222,2
ELDR,El Dorado Reservoir,4454,535,Harvest,261,2
ELDR,El Dorado Reservoir,4482,450,Harvest,50,2
ELDR,El Dorado Reservoir,4487,485,Harvest,50,2
ELDR,El Dorado Reservoir,4605,436,Release,94,2
ELDR,El Dorado Reservoir,4837,670,Release,111,2
ELDR,El Dorado Reservoir,4955,538,Release,111,2
ELDR,El Dorado Reservoir,5017,661,Release,19,2
ELDR,El Dorado Reservoir,5028,610,Release,124,2
ELDR,El Dorado Reservoir,5028,610,Harvest,356,2
ELDR,El Dorado Reservoir,5067,468,Harvest,61,2
ELDR,El Dorado Reservoir,5082,469,Release,209,2
ELDR,El Dorado Reservoir,5120,523,Release,54,2
ELDR,El Dorado Reservoir,5123,469,Release,361,2
ELDR,El Dorado Reservoir,5162,548,Harvest,223,2
ELDR,El Dorado Reservoir,5180,616,Release,61,2
ELDR,El Dorado Reservoir,5184,681,Release,124,2
ELDR,El Dorado Reservoir,5194,511,Harvest,75,2
ELDR,El Dorado Reservoir,5196,530,Release,1,2
ELDR,El Dorado Reservoir,5250,600,Harvest,18,2
ELDR,El Dorado Reservoir,5274,520,Harvest,29,2
ELDR,El Dorado Reservoir,5320,455,Harvest,23,2
ELDR,El Dorado Reservoir,5329,390,Harvest,80,2
ELDR,El Dorado Reservoir,5340,620,Harvest,291,2
ELDR,El Dorado Reservoir,5351,705,Release,156,2
ELDR,El Dorado Reservoir,5384,591,Harvest,18,2
ELDR,El Dorado Reservoir,5387,552,Harvest,40,2
ELDR,El Dorado Reservoir,5391,545,Harvest,68,2
ELDR,El Dorado Reservoir,5396,572,Harvest,54,2
ELDR,El Dorado Reservoir,5414,450,Release,53,2
