date,impd,spp,grid,tl,w,tag,gear
6/19/2018,MILR,BCF,558,200,49,314,LFE
6/19/2018,MILR,BCF,481,201,58,105,LFE
6/19/2018,MILR,BCF,558,203,59,360,LFE
6/19/2018,MILR,BCF,573,210,64,272,LFE
6/19/2018,MILR,BCF,558,210,64,304,LFE
6/19/2018,MILR,BCF,446,203,64,281,LFE
6/19/2018,MILR,BCF,446,202,64,290,LFE
6/19/2018,MILR,BCF,481,207,66,104,LFE
6/19/2018,MILR,BCF,573,215,67,19,LFE
6/19/2018,MILR,BCF,446,213,68,127,LFE
6/19/2018,MILR,BCF,573,207,68,20,LFE
6/19/2018,MILR,BCF,558,202,68,364,LFE
6/19/2018,MILR,BCF,573,201,68,6,LFE
6/19/2018,MILR,BCF,558,209,69,311,LFE
6/19/2018,MILR,BCF,573,213,70,7,LFE
6/19/2018,MILR,BCF,558,216,72,366,LFE
6/19/2018,MILR,BCF,558,211,72,362,LFE
6/19/2018,MILR,BCF,558,206,72,310,LFE
6/19/2018,MILR,BCF,481,215,73,375,LFE
6/19/2018,MILR,BCF,558,212,75,315,LFE
6/19/2018,MILR,BCF,446,220,77,280,LFE
6/19/2018,MILR,BCF,573,201,77,202,LFE
6/19/2018,MILR,BCF,282,217,80,240,LFE
6/19/2018,MILR,BCF,558,216,80,309,LFE
6/19/2018,MILR,BCF,558,214,81,306,LFE
6/19/2018,MILR,BCF,446,220,84,117,LFE
6/19/2018,MILR,BCF,282,220,84,173,LFE
6/19/2018,MILR,BCF,573,230,85,3,LFE
6/19/2018,MILR,BCF,446,226,86,124,LFE
6/19/2018,MILR,BCF,573,225,86,5,LFE
6/19/2018,MILR,BCF,573,220,87,50,LFE
6/19/2018,MILR,BCF,481,230,88,323,LFE
6/19/2018,MILR,BCF,573,225,88,49,LFE
6/19/2018,MILR,BCF,573,223,88,137,LFE
6/19/2018,MILR,BCF,446,227,89,277,LFE
6/19/2018,MILR,BCF,573,221,91,33,LFE
6/19/2018,MILR,BCF,558,246,100,303,LFE
6/19/2018,MILR,BCF,573,242,100,56,LFE
6/19/2018,MILR,BCF,446,234,100,279,LFE
6/19/2018,MILR,BCF,573,233,100,2,LFE
6/19/2018,MILR,BCF,573,236,102,26,LFE
6/19/2018,MILR,BCF,573,234,102,267,LFE
6/19/2018,MILR,BCF,573,230,106,1,LFE
6/19/2018,MILR,BCF,481,250,108,107,LFE
6/19/2018,MILR,BCF,558,243,108,357,LFE
6/19/2018,MILR,BCF,282,249,110,94,LFE
6/19/2018,MILR,BCF,573,247,112,130,LFE
6/19/2018,MILR,BCF,573,251,113,46,LFE
6/19/2018,MILR,BCF,573,256,114,27,LFE
6/19/2018,MILR,BCF,446,253,114,284,LFE
6/19/2018,MILR,BCF,573,250,115,31,LFE
6/19/2018,MILR,BCF,558,250,115,312,LFE
6/19/2018,MILR,BCF,573,262,116,17,LFE
6/19/2018,MILR,BCF,446,241,117,276,LFE
6/19/2018,MILR,BCF,282,255,118,183,LFE
6/19/2018,MILR,BCF,573,253,118,55,LFE
6/19/2018,MILR,BCF,573,252,118,47,LFE
6/19/2018,MILR,BCF,446,251,118,278,LFE
6/19/2018,MILR,BCF,573,257,119,48,LFE
6/19/2018,MILR,BCF,481,256,122,337,LFE
6/19/2018,MILR,BCF,573,250,122,140,LFE
6/19/2018,MILR,BCF,282,271,123,216,LFE
6/19/2018,MILR,BCF,481,262,123,338,LFE
6/19/2018,MILR,BCF,558,262,123,351,LFE
6/19/2018,MILR,BCF,573,260,123,129,LFE
6/19/2018,MILR,BCF,481,256,123,370,LFE
6/19/2018,MILR,BCF,282,265,124,196,LFE
6/19/2018,MILR,BCF,481,258,125,101,LFE
6/19/2018,MILR,BCF,573,265,126,24,LFE
6/19/2018,MILR,BCF,481,264,126,113,LFE
6/19/2018,MILR,BCF,573,265,127,201,LFE
6/19/2018,MILR,BCF,558,252,127,355,LFE
6/19/2018,MILR,BCF,481,263,128,319,LFE
6/19/2018,MILR,BCF,282,262,128,83,LFE
6/19/2018,MILR,BCF,481,262,128,103,LFE
6/19/2018,MILR,BCF,481,265,129,110,LFE
6/19/2018,MILR,BCF,573,263,129,45,LFE
6/19/2018,MILR,BCF,558,261,129,363,LFE
6/19/2018,MILR,BCF,282,256,129,226,LFE
6/19/2018,MILR,BCF,573,262,130,268,LFE
6/19/2018,MILR,BCF,282,273,131,218,LFE
6/19/2018,MILR,BCF,481,258,131,111,LFE
6/19/2018,MILR,BCF,573,258,131,128,LFE
6/19/2018,MILR,BCF,282,257,131,169,LFE
6/19/2018,MILR,BCF,573,266,132,275,LFE
6/19/2018,MILR,BCF,446,255,132,125,LFE
6/19/2018,MILR,BCF,558,267,133,367,LFE
6/19/2018,MILR,BCF,573,263,133,204,LFE
6/19/2018,MILR,BCF,573,260,133,12,LFE
6/19/2018,MILR,BCF,573,260,133,40,LFE
6/19/2018,MILR,BCF,481,256,133,324,LFE
6/19/2018,MILR,BCF,282,270,134,224,LFE
6/19/2018,MILR,BCF,282,265,134,236,LFE
6/19/2018,MILR,BCF,481,265,134,336,LFE
6/19/2018,MILR,BCF,282,272,135,187,LFE
6/19/2018,MILR,BCF,446,266,135,115,LFE
6/19/2018,MILR,BCF,558,264,135,365,LFE
6/19/2018,MILR,BCF,573,262,135,25,LFE
6/19/2018,MILR,BCF,446,268,136,120,LFE
6/19/2018,MILR,BCF,573,262,136,58,LFE
6/19/2018,MILR,BCF,446,262,136,348,LFE
6/19/2018,MILR,BCF,573,261,136,54,LFE
6/19/2018,MILR,BCF,282,265,137,239,LFE
6/19/2018,MILR,BCF,282,264,137,164,LFE
6/19/2018,MILR,BCF,282,263,137,231,LFE
6/19/2018,MILR,BCF,282,261,137,89,LFE
6/19/2018,MILR,BCF,573,263,138,147,LFE
6/19/2018,MILR,BCF,573,261,138,18,LFE
6/19/2018,MILR,BCF,573,260,138,266,LFE
6/19/2018,MILR,BCF,446,256,138,288,LFE
6/19/2018,MILR,BCF,282,275,139,221,LFE
6/19/2018,MILR,BCF,573,272,139,28,LFE
6/19/2018,MILR,BCF,282,265,139,235,LFE
6/19/2018,MILR,BCF,573,272,141,16,LFE
6/19/2018,MILR,BCF,573,269,141,51,LFE
6/19/2018,MILR,BCF,573,265,141,29,LFE
6/19/2018,MILR,BCF,446,265,141,123,LFE
6/19/2018,MILR,BCF,573,282,142,252,LFE
6/19/2018,MILR,BCF,573,271,142,133,LFE
6/19/2018,MILR,BCF,282,270,142,243,LFE
6/19/2018,MILR,BCF,573,267,142,4,LFE
6/19/2018,MILR,BCF,573,278,143,15,LFE
6/19/2018,MILR,BCF,282,276,143,156,LFE
6/19/2018,MILR,BCF,282,274,143,232,LFE
6/19/2018,MILR,BCF,446,270,143,116,LFE
6/19/2018,MILR,BCF,282,267,143,71,LFE
6/19/2018,MILR,BCF,282,274,144,238,LFE
6/19/2018,MILR,BCF,446,267,144,344,LFE
6/19/2018,MILR,BCF,481,266,144,369,LFE
6/19/2018,MILR,BCF,481,264,144,332,LFE
6/19/2018,MILR,BCF,282,284,145,70,LFE
6/19/2018,MILR,BCF,282,273,145,69,LFE
6/19/2018,MILR,BCF,282,273,145,241,LFE
6/19/2018,MILR,BCF,573,272,145,143,LFE
6/19/2018,MILR,BCF,446,272,145,340,LFE
6/19/2018,MILR,BCF,573,270,146,11,LFE
6/19/2018,MILR,BCF,282,270,146,161,LFE
6/19/2018,MILR,BCF,558,270,146,308,LFE
6/19/2018,MILR,BCF,573,269,146,43,LFE
6/19/2018,MILR,BCF,282,287,147,227,LFE
6/19/2018,MILR,BCF,446,272,147,114,LFE
6/19/2018,MILR,BCF,446,258,147,121,LFE
6/19/2018,MILR,BCF,573,280,148,263,LFE
6/19/2018,MILR,BCF,573,275,148,131,LFE
6/19/2018,MILR,BCF,282,275,148,228,LFE
6/19/2018,MILR,BCF,282,273,148,90,LFE
6/19/2018,MILR,BCF,558,271,148,352,LFE
6/19/2018,MILR,BCF,282,270,148,186,LFE
6/19/2018,MILR,BCF,558,270,148,307,LFE
6/19/2018,MILR,BCF,282,268,148,160,LFE
6/19/2018,MILR,BCF,282,278,149,80,LFE
6/19/2018,MILR,BCF,573,272,149,35,LFE
6/19/2018,MILR,BCF,481,276,150,322,LFE
6/19/2018,MILR,BCF,573,275,150,14,LFE
6/19/2018,MILR,BCF,282,275,150,194,LFE
6/19/2018,MILR,BCF,446,270,150,118,LFE
6/19/2018,MILR,BCF,282,270,150,153,LFE
6/19/2018,MILR,BCF,573,281,152,253,LFE
6/19/2018,MILR,BCF,282,276,152,248,LFE
6/19/2018,MILR,BCF,573,273,152,37,LFE
6/19/2018,MILR,BCF,573,271,152,39,LFE
6/19/2018,MILR,BCF,282,271,152,163,LFE
6/19/2018,MILR,BCF,282,280,153,177,LFE
6/19/2018,MILR,BCF,282,278,153,66,LFE
6/19/2018,MILR,BCF,573,278,153,144,LFE
6/19/2018,MILR,BCF,282,273,153,82,LFE
6/19/2018,MILR,BCF,573,265,153,271,LFE
6/19/2018,MILR,BCF,282,284,154,229,LFE
6/19/2018,MILR,BCF,481,268,154,326,LFE
6/19/2018,MILR,BCF,282,280,155,79,LFE
6/19/2018,MILR,BCF,282,280,155,192,LFE
6/19/2018,MILR,BCF,573,279,155,41,LFE
6/19/2018,MILR,BCF,446,278,155,350,LFE
6/19/2018,MILR,BCF,282,283,156,234,LFE
6/19/2018,MILR,BCF,282,275,156,171,LFE
6/19/2018,MILR,BCF,481,268,156,328,LFE
6/19/2018,MILR,BCF,481,267,157,330,LFE
6/19/2018,MILR,BCF,573,282,158,136,LFE
6/19/2018,MILR,BCF,558,282,158,302,LFE
6/19/2018,MILR,BCF,282,277,158,68,LFE
6/19/2018,MILR,BCF,282,276,158,77,LFE
6/19/2018,MILR,BCF,481,275,158,102,LFE
6/19/2018,MILR,BCF,481,275,158,317,LFE
6/19/2018,MILR,BCF,282,268,158,97,LFE
6/19/2018,MILR,BCF,282,266,158,166,LFE
6/19/2018,MILR,BCF,573,279,159,142,LFE
6/19/2018,MILR,BCF,573,278,159,42,LFE
6/19/2018,MILR,BCF,481,276,159,109,LFE
6/19/2018,MILR,BCF,282,284,160,93,LFE
6/19/2018,MILR,BCF,282,282,160,245,LFE
6/19/2018,MILR,BCF,558,282,160,356,LFE
6/19/2018,MILR,BCF,282,277,160,249,LFE
6/19/2018,MILR,BCF,573,266,160,57,LFE
6/19/2018,MILR,BCF,446,286,161,346,LFE
6/19/2018,MILR,BCF,282,279,161,151,LFE
6/19/2018,MILR,BCF,282,276,161,81,LFE
6/19/2018,MILR,BCF,573,274,161,60,LFE
6/19/2018,MILR,BCF,481,272,161,335,LFE
6/19/2018,MILR,BCF,573,284,162,269,LFE
6/19/2018,MILR,BCF,282,279,162,154,LFE
6/19/2018,MILR,BCF,573,279,162,203,LFE
6/19/2018,MILR,BCF,481,271,162,112,LFE
6/19/2018,MILR,BCF,282,288,163,65,LFE
6/19/2018,MILR,BCF,282,276,163,246,LFE
6/19/2018,MILR,BCF,573,286,164,30,LFE
6/19/2018,MILR,BCF,282,284,164,195,LFE
6/19/2018,MILR,BCF,282,278,164,193,LFE
6/19/2018,MILR,BCF,282,273,165,244,LFE
6/19/2018,MILR,BCF,481,290,166,318,LFE
6/19/2018,MILR,BCF,282,286,166,242,LFE
6/19/2018,MILR,BCF,573,286,166,274,LFE
6/19/2018,MILR,BCF,282,285,166,86,LFE
6/19/2018,MILR,BCF,282,282,166,250,LFE
6/19/2018,MILR,BCF,282,280,166,67,LFE
6/19/2018,MILR,BCF,446,277,166,122,LFE
6/19/2018,MILR,BCF,282,284,167,184,LFE
6/19/2018,MILR,BCF,282,281,167,220,LFE
6/19/2018,MILR,BCF,573,278,167,8,LFE
6/19/2018,MILR,BCF,282,275,167,354,LFE
6/19/2018,MILR,BCF,282,290,168,188,LFE
6/19/2018,MILR,BCF,573,280,168,273,LFE
6/19/2018,MILR,BCF,282,277,168,87,LFE
6/19/2018,MILR,BCF,282,275,168,170,LFE
6/19/2018,MILR,BCF,282,267,168,359,LFE
6/19/2018,MILR,BCF,558,285,169,353,LFE
6/19/2018,MILR,BCF,282,282,169,217,LFE
6/19/2018,MILR,BCF,282,279,169,159,LFE
6/19/2018,MILR,BCF,573,293,170,61,LFE
6/19/2018,MILR,BCF,573,280,170,44,LFE
6/19/2018,MILR,BCF,282,285,171,247,LFE
6/19/2018,MILR,BCF,558,290,172,301,LFE
6/19/2018,MILR,BCF,573,285,173,34,LFE
6/19/2018,MILR,BCF,573,286,174,36,LFE
6/19/2018,MILR,BCF,558,285,174,358,LFE
6/19/2018,MILR,BCF,282,285,175,175,LFE
6/19/2018,MILR,BCF,573,295,176,9,LFE
6/19/2018,MILR,BCF,481,288,176,371,LFE
6/19/2018,MILR,BCF,282,286,176,197,LFE
6/19/2018,MILR,BCF,446,283,176,289,LFE
6/19/2018,MILR,BCF,573,275,176,148,LFE
6/19/2018,MILR,BCF,282,290,177,361,LFE
6/19/2018,MILR,BCF,573,285,177,38,LFE
6/19/2018,MILR,BCF,282,282,177,213,LFE
6/19/2018,MILR,BCF,282,287,178,158,LFE
6/19/2018,MILR,BCF,282,286,178,75,LFE
6/19/2018,MILR,BCF,282,280,178,179,LFE
6/19/2018,MILR,BCF,282,292,179,88,LFE
6/19/2018,MILR,BCF,282,295,182,233,LFE
6/19/2018,MILR,BCF,573,288,183,150,LFE
6/19/2018,MILR,BCF,282,293,184,182,LFE
6/19/2018,MILR,BCF,481,286,184,325,LFE
6/19/2018,MILR,BCF,282,296,185,78,LFE
6/19/2018,MILR,BCF,282,289,185,181,LFE
6/19/2018,MILR,BCF,282,285,185,162,LFE
6/19/2018,MILR,BCF,282,285,186,174,LFE
6/19/2018,MILR,BCF,558,283,186,313,LFE
6/19/2018,MILR,BCF,282,296,189,178,LFE
6/19/2018,MILR,BCF,282,300,192,199,LFE
6/19/2018,MILR,BCF,573,296,192,13,LFE
6/19/2018,MILR,BCF,282,302,193,172,LFE
6/19/2018,MILR,BCF,282,302,193,180,LFE
6/19/2018,MILR,BCF,573,299,193,141,LFE
6/19/2018,MILR,BCF,282,298,194,165,LFE
6/19/2018,MILR,BCF,573,295,194,138,LFE
6/19/2018,MILR,BCF,446,290,194,119,LFE
6/19/2018,MILR,BCF,282,290,196,219,LFE
6/19/2018,MILR,BCF,282,294,198,191,LFE
6/19/2018,MILR,BCF,282,290,198,214,LFE
6/19/2018,MILR,BCF,573,292,200,32,LFE
6/19/2018,MILR,BCF,282,300,202,85,LFE
